--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 1.0 kB	duration: 3m0s	connections: 512
Connection metrics:
[Conn 86] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436479ms
[Conn 87] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436475ms
[Conn 88] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.43647ms
[Conn 89] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436483ms
[Conn 90] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436479ms
[Conn 91] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436488ms
[Conn 92] sent: 128.2 MB, received: 128.2 MB, requests: 125219, responses: 125218 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436491ms
[Conn 93] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436478ms
[Conn 94] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436477ms
[Conn 95] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436482ms
[Conn 96] sent: 128.2 MB, received: 128.2 MB, requests: 125222, responses: 125221 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436467ms
[Conn 97] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436478ms
[Conn 98] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436477ms
[Conn 99] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436481ms
[Conn 100] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436486ms
[Conn 101] sent: 128.2 MB, received: 128.2 MB, requests: 125219, responses: 125218 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436496ms
[Conn 102] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436465ms
[Conn 103] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436479ms
[Conn 104] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436488ms
[Conn 105] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436479ms
[Conn 106] sent: 128.2 MB, received: 128.2 MB, requests: 125220, responses: 125219 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436482ms
[Conn 107] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436477ms
[Conn 108] sent: 128.2 MB, received: 128.2 MB, requests: 125221, responses: 125220 sent/sec: 712.4 kB recv/sec 712.4 kB req/sec: 695 res/sec 695 avg-res-time: 1.436481ms
