--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 32.8 kB	duration: 3m0s	connections: 512
Connection metrics:
[Conn 115] sent: 1.2 GB, received: 1.2 GB, requests: 37657, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 116] sent: 1.2 GB, received: 1.2 GB, requests: 37659, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 117] sent: 1.2 GB, received: 1.2 GB, requests: 37651, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 118] sent: 1.2 GB, received: 1.2 GB, requests: 37659, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 119] sent: 1.2 GB, received: 1.2 GB, requests: 37659, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 120] sent: 1.2 GB, received: 1.2 GB, requests: 37651, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 121] sent: 1.2 GB, received: 1.2 GB, requests: 37657, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 122] sent: 1.2 GB, received: 1.2 GB, requests: 37657, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 123] sent: 1.2 GB, received: 1.2 GB, requests: 37648, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 124] sent: 1.2 GB, received: 1.2 GB, requests: 37652, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 125] sent: 1.2 GB, received: 1.2 GB, requests: 37650, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 126] sent: 1.2 GB, received: 1.2 GB, requests: 37657, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 127] sent: 1.2 GB, received: 1.2 GB, requests: 37640, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 128] sent: 1.2 GB, received: 1.2 GB, requests: 37655, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 129] sent: 1.2 GB, received: 1.2 GB, requests: 37650, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 130] sent: 1.2 GB, received: 1.2 GB, requests: 37660, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 131] sent: 1.2 GB, received: 1.2 GB, requests: 37657, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 132] sent: 1.2 GB, received: 1.2 GB, requests: 37652, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 133] sent: 1.2 GB, received: 1.2 GB, requests: 37655, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
[Conn 134] sent: 1.2 GB, received: 1.2 GB, requests: 37659, responses: 37371 sent/sec: 6.9 MB recv/sec 6.8 MB req/sec: 209 res/sec 207
