--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 256 B	duration: 3m0s	connections: 1000
Connection metrics:
[Conn 118] sent: 337.0 MB, received: 331.5 MB, requests: 1316601, responses: 1294866 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7314 res/sec 7193
[Conn 119] sent: 337.8 MB, received: 331.3 MB, requests: 1319546, responses: 1293970 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7330 res/sec 7188
[Conn 120] sent: 336.8 MB, received: 331.3 MB, requests: 1315449, responses: 1294225 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7308 res/sec 7190
[Conn 121] sent: 337.2 MB, received: 331.6 MB, requests: 1317114, responses: 1295188 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7317 res/sec 7195
[Conn 122] sent: 335.3 MB, received: 331.4 MB, requests: 1309719, responses: 1294711 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7276 res/sec 7192
[Conn 123] sent: 337.0 MB, received: 331.8 MB, requests: 1316218, responses: 1296018 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7312 res/sec 7200
[Conn 124] sent: 334.7 MB, received: 331.1 MB, requests: 1307409, responses: 1293553 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7263 res/sec 7186
[Conn 125] sent: 336.8 MB, received: 331.7 MB, requests: 1315449, responses: 1295729 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7308 res/sec 7198
[Conn 126] sent: 337.1 MB, received: 331.5 MB, requests: 1316855, responses: 1294865 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7315 res/sec 7193
[Conn 127] sent: 335.8 MB, received: 331.0 MB, requests: 1311870, responses: 1293010 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7288 res/sec 7183
[Conn 128] sent: 336.9 MB, received: 331.6 MB, requests: 1316091, responses: 1295348 sent/sec: 1.9 MB recv/sec 1.8 MB req/sec: 7311 res/sec 7196
