--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 256 B	duration: 3m0s	connections: 10000
Connection metrics:
[Conn 68] sent: 17.9 MB, received: 15.4 MB, requests: 70071, responses: 60122 sent/sec: 99.7 kB recv/sec 85.5 kB req/sec: 389 res/sec 334
[Conn 69] sent: 25.3 MB, received: 23.2 MB, requests: 98968, responses: 90578 sent/sec: 140.8 kB recv/sec 128.8 kB req/sec: 549 res/sec 503
[Conn 70] sent: 23.6 MB, received: 23.2 MB, requests: 92184, responses: 90656 sent/sec: 131.1 kB recv/sec 128.9 kB req/sec: 512 res/sec 503
[Conn 71] sent: 23.9 MB, received: 23.1 MB, requests: 93336, responses: 90390 sent/sec: 132.7 kB recv/sec 128.6 kB req/sec: 518 res/sec 502
[Conn 72] sent: 18.0 MB, received: 15.4 MB, requests: 70440, responses: 60250 sent/sec: 100.2 kB recv/sec 85.7 kB req/sec: 391 res/sec 334
[Conn 73] sent: 25.4 MB, received: 23.1 MB, requests: 99224, responses: 90162 sent/sec: 141.1 kB recv/sec 128.2 kB req/sec: 551 res/sec 500
[Conn 74] sent: 25.2 MB, received: 23.1 MB, requests: 98456, responses: 90322 sent/sec: 140.0 kB recv/sec 128.5 kB req/sec: 546 res/sec 501
[Conn 75] sent: 23.5 MB, received: 23.1 MB, requests: 91928, responses: 90322 sent/sec: 130.7 kB recv/sec 128.5 kB req/sec: 510 res/sec 501
[Conn 76] sent: 23.5 MB, received: 23.2 MB, requests: 91672, responses: 90552 sent/sec: 130.4 kB recv/sec 128.8 kB req/sec: 509 res/sec 503
[Conn 77] sent: 25.3 MB, received: 23.1 MB, requests: 98712, responses: 90170 sent/sec: 140.4 kB recv/sec 128.2 kB req/sec: 548 res/sec 500
[Conn 78] sent: 25.5 MB, received: 22.8 MB, requests: 99678, responses: 89187 sent/sec: 141.8 kB recv/sec 126.8 kB req/sec: 553 res/sec 495
[Conn 79] sent: 25.3 MB, received: 23.1 MB, requests: 98968, responses: 90102 sent/sec: 140.8 kB recv/sec 128.1 kB req/sec: 549 res/sec 500
[Conn 80] sent: 23.5 MB, received: 23.2 MB, requests: 91800, responses: 90485 sent/sec: 130.6 kB recv/sec 128.7 kB req/sec: 510 res/sec 502
