--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 100.0 kB	duration: 3m0s	connections: 512
Connection metrics:
[Conn 62] sent: 1.2 GB, received: 1.2 GB, requests: 11864, responses: 11762 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.288662ms
[Conn 63] sent: 1.2 GB, received: 1.2 GB, requests: 11865, responses: 11763 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.288947ms
[Conn 64] sent: 1.2 GB, received: 1.2 GB, requests: 11855, responses: 11753 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.289151ms
[Conn 65] sent: 1.2 GB, received: 1.2 GB, requests: 11856, responses: 11754 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.289164ms
[Conn 66] sent: 1.2 GB, received: 1.2 GB, requests: 11833, responses: 11758 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.288657ms
[Conn 67] sent: 1.2 GB, received: 1.2 GB, requests: 11845, responses: 11748 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.290476ms
[Conn 68] sent: 1.2 GB, received: 1.2 GB, requests: 11831, responses: 11756 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.289462ms
[Conn 69] sent: 1.2 GB, received: 1.2 GB, requests: 11864, responses: 11762 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.288519ms
[Conn 70] sent: 1.2 GB, received: 1.2 GB, requests: 11859, responses: 11757 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.289079ms
[Conn 71] sent: 1.2 GB, received: 1.2 GB, requests: 11845, responses: 11758 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.288667ms
[Conn 72] sent: 1.2 GB, received: 1.2 GB, requests: 11851, responses: 11761 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.289134ms
[Conn 73] sent: 1.2 GB, received: 1.2 GB, requests: 11856, responses: 11754 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.288719ms
[Conn 74] sent: 1.2 GB, received: 1.2 GB, requests: 11866, responses: 11764 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.288079ms
[Conn 75] sent: 1.2 GB, received: 1.2 GB, requests: 11853, responses: 11751 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.289138ms
[Conn 76] sent: 1.2 GB, received: 1.2 GB, requests: 11861, responses: 11759 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.28893ms
[Conn 77] sent: 1.2 GB, received: 1.2 GB, requests: 11851, responses: 11749 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.291787ms
[Conn 78] sent: 1.2 GB, received: 1.2 GB, requests: 11864, responses: 11762 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.2895ms
[Conn 79] sent: 1.2 GB, received: 1.2 GB, requests: 11860, responses: 11758 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.289574ms
[Conn 80] sent: 1.2 GB, received: 1.2 GB, requests: 11854, responses: 11752 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.290532ms
[Conn 81] sent: 1.2 GB, received: 1.2 GB, requests: 11858, responses: 11756 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.291227ms
[Conn 82] sent: 1.2 GB, received: 1.2 GB, requests: 11854, responses: 11757 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.288468ms
[Conn 83] sent: 1.2 GB, received: 1.2 GB, requests: 11831, responses: 11756 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.288372ms
[Conn 84] sent: 1.2 GB, received: 1.2 GB, requests: 11829, responses: 11757 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.287385ms
[Conn 85] sent: 1.2 GB, received: 1.2 GB, requests: 11860, responses: 11758 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.288599ms
[Conn 86] sent: 1.2 GB, received: 1.2 GB, requests: 11850, responses: 11748 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.289581ms
[Conn 87] sent: 1.2 GB, received: 1.2 GB, requests: 11835, responses: 11760 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.29004ms
[Conn 88] sent: 1.2 GB, received: 1.2 GB, requests: 11849, responses: 11747 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.289934ms
[Conn 89] sent: 1.2 GB, received: 1.2 GB, requests: 11854, responses: 11752 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.289998ms
[Conn 90] sent: 1.2 GB, received: 1.2 GB, requests: 11855, responses: 11753 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.288288ms
