--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 100.0 kB	duration: 3m0s	connections: 512
Connection metrics:
[Conn 82] sent: 1.4 GB, received: 1.4 GB, requests: 14273, responses: 14170 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.683389ms
[Conn 83] sent: 1.4 GB, received: 1.4 GB, requests: 14279, responses: 14176 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.682564ms
[Conn 84] sent: 1.4 GB, received: 1.4 GB, requests: 14281, responses: 14178 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.683914ms
[Conn 85] sent: 1.4 GB, received: 1.4 GB, requests: 14274, responses: 14171 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.682794ms
[Conn 86] sent: 1.4 GB, received: 1.4 GB, requests: 14283, responses: 14180 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.684623ms
[Conn 87] sent: 1.4 GB, received: 1.4 GB, requests: 14284, responses: 14181 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.682747ms
[Conn 88] sent: 1.4 GB, received: 1.4 GB, requests: 14277, responses: 14175 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.681544ms
[Conn 89] sent: 1.4 GB, received: 1.4 GB, requests: 14272, responses: 14169 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.685238ms
[Conn 90] sent: 1.4 GB, received: 1.4 GB, requests: 14298, responses: 14195 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.673922ms
[Conn 91] sent: 1.4 GB, received: 1.4 GB, requests: 14282, responses: 14179 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.683245ms
[Conn 92] sent: 1.4 GB, received: 1.4 GB, requests: 14280, responses: 14177 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.687203ms
[Conn 93] sent: 1.4 GB, received: 1.4 GB, requests: 14275, responses: 14173 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.681096ms
[Conn 94] sent: 1.4 GB, received: 1.4 GB, requests: 14270, responses: 14167 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.684433ms
[Conn 95] sent: 1.4 GB, received: 1.4 GB, requests: 14275, responses: 14172 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.686895ms
[Conn 96] sent: 1.4 GB, received: 1.4 GB, requests: 14266, responses: 14163 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.685626ms
[Conn 97] sent: 1.4 GB, received: 1.4 GB, requests: 14286, responses: 14183 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.681171ms
[Conn 98] sent: 1.4 GB, received: 1.4 GB, requests: 14281, responses: 14178 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.683083ms
[Conn 99] sent: 1.4 GB, received: 1.4 GB, requests: 14287, responses: 14184 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.680109ms
[Conn 100] sent: 1.4 GB, received: 1.4 GB, requests: 14270, responses: 14167 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.681619ms
[Conn 101] sent: 1.4 GB, received: 1.4 GB, requests: 14281, responses: 14178 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.680855ms
[Conn 102] sent: 1.4 GB, received: 1.4 GB, requests: 14273, responses: 14170 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.683155ms
[Conn 103] sent: 1.4 GB, received: 1.4 GB, requests: 14280, responses: 14177 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.68556ms
[Conn 104] sent: 1.4 GB, received: 1.4 GB, requests: 14288, responses: 14186 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.675657ms
[Conn 105] sent: 1.4 GB, received: 1.4 GB, requests: 14288, responses: 14186 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.679473ms
[Conn 106] sent: 1.4 GB, received: 1.4 GB, requests: 14280, responses: 14177 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.686604ms
[Conn 107] sent: 1.4 GB, received: 1.4 GB, requests: 14285, responses: 14182 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.681762ms
[Conn 108] sent: 1.4 GB, received: 1.4 GB, requests: 14284, responses: 14181 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.68396ms
[Conn 109] sent: 1.4 GB, received: 1.4 GB, requests: 14279, responses: 14176 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.688073ms
[Conn 110] sent: 1.4 GB, received: 1.4 GB, requests: 14271, responses: 14168 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.683014ms
[Conn 111] sent: 1.4 GB, received: 1.4 GB, requests: 14286, responses: 14183 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.683724ms
[Conn 112] sent: 1.4 GB, received: 1.4 GB, requests: 14275, responses: 14172 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.681579ms
[Conn 113] sent: 1.4 GB, received: 1.4 GB, requests: 14267, responses: 14164 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.687679ms
[Conn 114] sent: 1.4 GB, received: 1.4 GB, requests: 14282, responses: 14179 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.681922ms
[Conn 115] sent: 1.4 GB, received: 1.4 GB, requests: 14271, responses: 14168 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.680572ms
[Conn 116] sent: 1.4 GB, received: 1.4 GB, requests: 14285, responses: 14182 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.684047ms
[Conn 117] sent: 1.4 GB, received: 1.4 GB, requests: 14282, responses: 14179 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.679857ms
[Conn 118] sent: 1.4 GB, received: 1.4 GB, requests: 14300, responses: 14197 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.67346ms
[Conn 119] sent: 1.4 GB, received: 1.4 GB, requests: 14272, responses: 14169 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.683307ms
[Conn 120] sent: 1.4 GB, received: 1.4 GB, requests: 14281, responses: 14178 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.68756ms
[Conn 121] sent: 1.4 GB, received: 1.4 GB, requests: 14280, responses: 14177 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.685557ms
[Conn 122] sent: 1.4 GB, received: 1.4 GB, requests: 14286, responses: 14183 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.68373ms
[Conn 123] sent: 1.4 GB, received: 1.4 GB, requests: 14284, responses: 14182 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.682505ms
[Conn 124] sent: 1.4 GB, received: 1.4 GB, requests: 14271, responses: 14169 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.685233ms
[Conn 125] sent: 1.4 GB, received: 1.4 GB, requests: 14285, responses: 14182 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.681735ms
[Conn 126] sent: 1.4 GB, received: 1.4 GB, requests: 14274, responses: 14172 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.68196ms
[Conn 127] sent: 1.4 GB, received: 1.4 GB, requests: 14285, responses: 14182 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.682026ms
[Conn 128] sent: 1.4 GB, received: 1.4 GB, requests: 14280, responses: 14177 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.681943ms
[Conn 129] sent: 1.4 GB, received: 1.4 GB, requests: 14274, responses: 14171 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.682824ms
[Conn 130] sent: 1.4 GB, received: 1.4 GB, requests: 14280, responses: 14177 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.681689ms
[Conn 131] sent: 1.4 GB, received: 1.4 GB, requests: 14276, responses: 14173 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.689157ms
[Conn 132] sent: 1.4 GB, received: 1.4 GB, requests: 14271, responses: 14168 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.686412ms
[Conn 133] sent: 1.4 GB, received: 1.4 GB, requests: 14296, responses: 14193 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.675163ms
[Conn 134] sent: 1.4 GB, received: 1.4 GB, requests: 14274, responses: 14171 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.682165ms
[Conn 135] sent: 1.4 GB, received: 1.4 GB, requests: 14279, responses: 14176 sent/sec: 7.9 MB recv/sec 7.9 MB req/sec: 79 res/sec 78 avg-res-time: 12.682316ms
